temp,location,clouds,pressure,rain,time_stamp,humidity,wind,is_Raining,ts_hour
37.52,Fenway,0.57,998.48,0.0,2018-11-29 04:09:17,0.71,9.38,False,2018-11-29 04:00:00
29.38,South Station,0.6,1034.77,0.0,2018-12-14 05:45:02,0.74,1.45,False,2018-12-14 05:00:00
33.54,West End,0.74,1018.84,0.0,2018-12-01 05:52:54,0.79,3.27,False,2018-12-01 05:00:00
40.85,Haymarket Square,0.97,989.77,0.0,2018-11-27 16:45:20,0.84,10.02,False,2018-11-27 16:00:00
38.74,Fenway,0.75,996.99,0.0,2018-11-29 00:51:44,0.7,9.63,False,2018-11-29 00:00:00
40.33,Northeastern University,1.0,1014.14,0.0,2018-11-26 05:49:58,0.91,0.68,False,2018-11-26 05:00:00
43.39,Northeastern University,1.0,996.33,0.01,2018-11-27 07:15:20,0.91,10.76,True,2018-11-27 07:00:00
28.32,West End,0.97,1005.3,0.0,2018-12-18 08:45:01,0.56,15.55,False,2018-12-18 08:00:00
41.48,North End,1.0,1016.49,0.0313,2018-12-02 12:52:54,0.92,8.62,True,2018-12-02 12:00:00
41.66,South Station,0.92,1015.39,0.0,2018-11-26 13:05:08,0.91,3.49,False,2018-11-26 13:00:00
37.23,Northeastern University,1.0,1004.84,0.0,2018-12-17 08:45:01,0.93,10.7,False,2018-12-17 08:00:00
33.15,Northeastern University,0.42,991.83,0.0,2018-11-28 09:34:34,0.85,5.93,False,2018-11-28 09:00:00
33.45,Back Bay,0.14,991.19,0.0,2018-11-28 10:03:56,0.83,5.59,False,2018-11-28 10:00:00
39.92,North End,0.11,1022.78,0.0,2018-12-01 15:53:04,0.61,3.37,False,2018-12-01 15:00:00
30.0,North Station,1.0,1003.15,0.0,2018-12-18 07:45:01,0.59,13.09,False,2018-12-18 07:00:00
40.17,Northeastern University,0.94,1000.91,0.0,2018-12-17 17:45:01,0.8,6.49,False,2018-12-17 17:00:00
41.09,Fenway,0.94,993.48,0.0,2018-11-28 21:02:08,0.63,8.39,False,2018-11-28 21:00:00
23.21,Financial District,0.04,1027.51,0.0,2018-12-13 04:24:57,0.47,4.23,False,2018-12-13 04:00:00
40.51,North Station,1.0,1014.18,0.0,2018-11-26 06:24:05,0.92,1.35,False,2018-11-26 06:00:00
44.8,Financial District,0.92,1000.95,0.0,2018-12-03 05:52:54,0.95,2.23,False,2018-12-03 05:00:00
34.9,Boston University,0.15,991.56,0.0,2018-11-28 07:24:05,0.79,6.31,False,2018-11-28 07:00:00
45.2,North End,0.84,1013.56,0.0,2018-11-26 16:35:08,0.87,5.95,False,2018-11-26 16:00:00
41.71,Financial District,1.0,1014.58,0.0,2018-11-26 09:05:10,0.9,1.74,False,2018-11-26 09:00:00
42.72,Theatre District,0.18,1023.04,0.0,2018-12-16 00:45:01,0.71,6.47,False,2018-12-16 00:00:00
46.28,Theatre District,1.0,1010.16,0.0,2018-12-02 16:52:54,0.95,7.08,False,2018-12-02 16:00:00
19.62,Boston University,0.39,1030.72,0.0,2018-12-13 09:45:01,0.64,3.7,False,2018-12-13 09:00:00
35.35,Theatre District,0.24,991.57,0.0,2018-11-28 06:34:29,0.79,6.64,False,2018-11-28 06:00:00
42.3,Haymarket Square,0.55,991.83,0.0,2018-11-27 21:15:20,0.71,9.14,False,2018-11-27 21:00:00
41.01,Back Bay,0.65,1023.18,0.0,2018-12-01 20:52:54,0.63,1.79,False,2018-12-01 20:00:00
38.19,South Station,0.61,1000.56,0.0,2018-11-29 06:38:49,0.69,10.53,False,2018-11-29 06:00:00
40.01,Boston University,0.85,1022.52,0.0,2018-12-16 12:45:02,0.75,7.21,False,2018-12-16 12:00:00
37.24,Northeastern University,0.49,998.77,0.0,2018-11-29 04:32:00,0.72,9.9,False,2018-11-29 04:00:00
35.66,Financial District,0.14,991.56,0.0,2018-11-28 07:25:54,0.77,6.57,False,2018-11-28 07:00:00
51.84,Theatre District,0.67,999.97,0.0,2018-12-03 19:52:54,0.53,8.07,False,2018-12-03 19:00:00
38.64,Back Bay,0.67,997.24,0.0,2018-11-29 01:09:23,0.71,10.04,False,2018-11-29 01:00:00
50.35,North Station,1.0,1004.05,0.0,2018-12-02 19:53:05,0.93,2.43,False,2018-12-02 19:00:00
37.33,Northeastern University,0.62,1000.59,0.0,2018-11-29 06:38:30,0.71,10.38,False,2018-11-29 06:00:00
49.38,Haymarket Square,0.89,1000.1,0.0114,2018-12-03 12:52:54,0.92,4.49,True,2018-12-03 12:00:00
41.18,North End,0.97,1014.35,0.0,2018-11-26 07:11:17,0.92,1.83,False,2018-11-26 07:00:00
39.68,Boston University,0.55,1004.46,0.0,2018-12-04 05:52:54,0.64,7.95,False,2018-12-04 05:00:00
40.31,South Station,0.22,991.71,0.0,2018-11-27 23:15:20,0.7,9.15,False,2018-11-27 23:00:00
28.86,South Station,0.27,1021.49,0.0,2018-12-10 02:39:11,0.6,5.18,False,2018-12-10 02:00:00
43.74,West End,0.99,1002.59,0.1033,2018-11-27 02:45:20,0.9,11.47,True,2018-11-27 02:00:00
33.17,West End,0.13,991.16,0.0,2018-11-28 10:00:09,0.84,5.51,False,2018-11-28 10:00:00
40.63,Boston University,0.83,994.1,0.0,2018-11-28 22:02:09,0.63,9.16,False,2018-11-28 22:00:00
41.4,North End,0.85,991.66,0.0,2018-11-28 17:32:07,0.64,9.93,False,2018-11-28 17:00:00
43.9,Fenway,1.0,1006.34,0.0393,2018-11-27 00:12:13,0.9,9.31,True,2018-11-27 00:00:00
47.27,South Station,0.05,1002.17,0.0,2018-12-03 23:52:54,0.55,8.85,False,2018-12-03 23:00:00
36.99,Financial District,0.64,991.56,0.0,2018-11-28 13:02:07,0.7,6.66,False,2018-11-28 13:00:00
44.08,Fenway,0.99,1001.45,0.241,2018-11-27 03:15:20,0.89,11.85,True,2018-11-27 03:00:00
41.54,Fenway,0.53,1003.94,0.0,2018-12-04 04:52:54,0.64,7.87,False,2018-12-04 04:00:00
34.93,Haymarket Square,0.14,991.55,0.0,2018-11-28 07:25:54,0.79,6.54,False,2018-11-28 07:00:00
37.71,West End,0.95,1017.5,0.0,2018-11-30 23:52:54,0.67,3.74,False,2018-11-30 23:00:00
29.82,Theatre District,0.71,1035.07,0.0,2018-12-14 04:45:01,0.72,1.61,False,2018-12-14 04:00:00
43.87,Fenway,0.99,1005.25,0.1231,2018-11-27 01:18:34,0.91,11.15,True,2018-11-27 01:00:00
36.37,Financial District,0.91,1003.97,0.0,2018-12-17 14:45:01,0.89,6.91,False,2018-12-17 14:00:00
42.13,North End,0.89,1012.51,0.0391,2018-12-16 22:45:01,0.77,11.09,True,2018-12-16 22:00:00
42.47,Boston University,0.49,1023.05,0.0,2018-12-01 17:52:54,0.56,1.04,False,2018-12-01 17:00:00
44.51,Beacon Hill,1.0,1008.4,0.035,2018-11-26 23:12:14,0.88,9.49,True,2018-11-26 23:00:00
39.91,Financial District,0.56,1004.45,0.0,2018-12-04 05:52:54,0.63,8.2,False,2018-12-04 05:00:00
41.13,Back Bay,0.98,1014.34,0.0,2018-11-26 06:49:04,0.92,1.8,False,2018-11-26 06:00:00
41.09,Beacon Hill,0.98,1014.35,0.0,2018-11-26 06:50:30,0.92,1.81,False,2018-11-26 06:00:00
35.83,Financial District,0.15,991.76,0.0,2018-11-28 07:31:37,0.77,6.67,False,2018-11-28 07:00:00
40.0,Theatre District,0.27,991.58,0.0,2018-11-27 22:45:20,0.71,8.39,False,2018-11-27 22:00:00
21.41,Fenway,0.2,1033.72,0.0,2018-12-13 13:45:01,0.6,2.86,False,2018-12-13 13:00:00
38.49,West End,0.48,991.68,0.0,2018-11-28 14:06:22,0.67,11.36,False,2018-11-28 14:00:00
32.75,North End,0.51,1033.75,0.0,2018-12-13 19:45:01,0.57,1.9,False,2018-12-13 19:00:00
40.36,Back Bay,1.0,1010.94,0.021,2018-12-17 01:45:01,0.9,10.43,True,2018-12-17 01:00:00
33.54,Back Bay,0.42,991.75,0.0,2018-11-28 09:32:18,0.83,5.9,False,2018-11-28 09:00:00
40.66,Boston University,0.86,1014.17,0.0,2018-11-26 04:41:37,0.92,2.57,False,2018-11-26 04:00:00
50.77,North End,0.7,1000.21,0.0,2018-12-03 20:52:54,0.56,6.86,False,2018-12-03 20:00:00
37.37,West End,0.5,998.74,0.0,2018-11-29 04:32:07,0.72,9.97,False,2018-11-29 04:00:00
38.65,South Station,0.5,997.93,0.002,2018-11-29 02:09:19,0.7,10.51,True,2018-11-29 02:00:00
38.78,Fenway,0.19,1010.78,0.0,2018-11-29 23:52:54,0.62,8.08,False,2018-11-29 23:00:00
40.41,Haymarket Square,0.92,1013.8,0.0,2018-11-26 05:28:05,0.93,2.7,False,2018-11-26 05:00:00
22.91,West End,0.06,1027.48,0.0,2018-12-13 04:45:03,0.49,4.75,False,2018-12-13 04:00:00
45.03,Financial District,0.97,1005.92,0.2215,2018-11-27 00:42:27,0.87,11.26,True,2018-11-27 00:00:00
38.41,Beacon Hill,0.51,997.9,0.0006,2018-11-29 02:07:18,0.7,10.35,True,2018-11-29 02:00:00
50.88,Northeastern University,1.0,1003.27,0.0,2018-12-02 21:52:54,0.94,3.84,False,2018-12-02 21:00:00
40.68,Beacon Hill,0.94,1013.76,0.0,2018-11-26 04:55:42,0.92,2.8,False,2018-11-26 04:00:00
34.9,North End,0.83,1001.64,0.028,2018-12-18 05:45:01,0.64,12.44,True,2018-12-18 05:00:00
40.64,Haymarket Square,0.82,999.95,0.0,2018-12-17 19:45:01,0.77,8.92,False,2018-12-17 19:00:00
20.13,Boston University,0.45,1031.72,0.0,2018-12-13 11:45:01,0.62,2.73,False,2018-12-13 11:00:00
40.5,North End,0.84,1022.48,0.0,2018-12-16 12:45:01,0.73,7.64,False,2018-12-16 12:00:00
40.77,Fenway,0.85,993.99,0.0,2018-11-28 21:53:39,0.63,9.1,False,2018-11-28 21:00:00
39.05,South Station,0.11,1022.78,0.0,2018-12-01 15:53:03,0.63,3.35,False,2018-12-01 15:00:00
51.84,West End,0.67,999.96,0.0,2018-12-03 19:52:54,0.53,8.07,False,2018-12-03 19:00:00
47.33,Back Bay,1.0,1007.49,0.007,2018-12-02 17:52:54,0.96,4.96,True,2018-12-02 17:00:00
38.8,Back Bay,0.75,996.87,0.0,2018-11-29 00:53:38,0.7,9.76,False,2018-11-29 00:00:00
41.27,Back Bay,0.27,1032.07,0.0,2018-12-14 16:45:02,0.66,4.26,False,2018-12-14 16:00:00
44.82,South Station,0.99,1005.37,0.2591,2018-11-27 01:17:21,0.88,11.29,True,2018-11-27 01:00:00
44.69,Haymarket Square,1.0,1009.14,0.0038,2018-11-26 22:45:10,0.87,8.32,True,2018-11-26 22:00:00
44.9,Theatre District,0.99,1008.4,0.0065,2018-11-26 22:05:09,0.87,7.58,True,2018-11-26 22:00:00
36.88,Back Bay,0.64,991.57,0.0,2018-11-28 13:02:07,0.7,6.47,False,2018-11-28 13:00:00
40.23,Beacon Hill,1.0,1016.03,0.0,2018-11-30 19:52:54,0.61,3.93,False,2018-11-30 19:00:00
45.31,Financial District,0.91,1009.03,0.0003,2018-11-26 21:35:08,0.83,9.5,True,2018-11-26 21:00:00
40.54,West End,0.93,1013.77,0.0,2018-11-26 05:14:01,0.92,2.96,False,2018-11-26 05:00:00
40.96,North End,0.63,1023.18,0.0,2018-12-01 20:52:54,0.63,1.77,False,2018-12-01 20:00:00
39.48,West End,0.14,992.11,0.0,2018-11-27 23:45:20,0.71,8.26,False,2018-11-27 23:00:00
38.37,North End,0.59,997.43,0.0,2018-11-29 01:24:44,0.71,10.44,False,2018-11-29 01:00:00
45.14,North Station,1.0,1022.35,0.0,2018-12-15 06:45:01,0.91,6.26,False,2018-12-15 06:00:00
47.54,Theatre District,0.98,1000.28,0.0,2018-12-03 11:52:54,0.92,3.56,False,2018-12-03 11:00:00
40.25,North Station,1.0,1010.98,0.025,2018-12-17 01:45:01,0.9,10.5,True,2018-12-17 01:00:00
41.34,Financial District,0.36,1009.55,0.0,2018-11-29 21:32:31,0.58,10.21,False,2018-11-29 21:00:00
27.27,Beacon Hill,0.15,1033.4,0.0,2018-12-14 11:45:01,0.81,2.99,False,2018-12-14 11:00:00
44.41,West End,0.19,1029.99,0.0,2018-12-14 18:45:01,0.61,3.39,False,2018-12-14 18:00:00
42.47,Back Bay,0.58,1007.66,0.0,2018-11-29 19:52:54,0.54,10.66,False,2018-11-29 19:00:00
42.45,South Station,0.45,1022.63,0.0,2018-12-01 18:52:54,0.57,0.97,False,2018-12-01 18:00:00
37.97,Boston University,0.55,991.85,0.0,2018-11-28 13:32:07,0.69,6.41,False,2018-11-28 13:00:00
40.59,South Station,0.73,1000.22,0.0,2018-12-17 21:45:01,0.68,9.22,False,2018-12-17 21:00:00
45.03,North End,1.0,1012.22,0.003,2018-12-02 15:52:54,0.94,6.4,True,2018-12-02 15:00:00
24.59,Financial District,0.08,1026.8,0.0,2018-12-13 03:24:59,0.45,5.36,False,2018-12-13 03:00:00
33.26,Northeastern University,0.39,990.69,0.0,2018-11-28 11:06:24,0.82,6.55,False,2018-11-28 11:00:00
29.94,Beacon Hill,0.72,1035.07,0.0,2018-12-14 04:45:02,0.71,1.6,False,2018-12-14 04:00:00
41.18,Back Bay,0.89,1026.16,0.0,2018-12-15 01:45:01,0.85,5.17,False,2018-12-15 01:00:00
49.65,Theatre District,0.62,1020.99,0.0,2018-12-15 19:45:02,0.72,4.71,False,2018-12-15 19:00:00
34.77,Beacon Hill,0.5,991.81,0.0,2018-11-28 08:14:43,0.8,5.94,False,2018-11-28 08:00:00
