distance,cab_type,time_stamp,destination,source,price,surge_multiplier,name,ts_hour
2.83,Lyft,2018-12-01 05:43:03.931,West End,Fenway,19.5,1.0,Lux,2018-12-01 05:00:00
1.15,Lyft,2018-11-27 23:45:23.881,Financial District,North End,16.5,1.0,Lux Black,2018-11-27 23:00:00
1.53,Lyft,2018-12-17 18:25:11.569,Theatre District,North End,3.5,1.0,Shared,2018-12-17 18:00:00
2.7,Uber,2018-12-17 20:55:05.469,North End,Back Bay,10.5,1.0,UberX,2018-12-17 20:00:00
1.61,Uber,2018-11-26 12:20:10.381,Haymarket Square,Theatre District,16.0,1.0,Black,2018-11-26 12:00:00
3.45,Uber,2018-11-29 16:47:59.653,South Station,Back Bay,35.0,1.0,Black SUV,2018-11-29 16:00:00
1.45,Lyft,2018-12-14 20:55:05.618,North End,Beacon Hill,26.0,1.0,Lux Black XL,2018-12-14 20:00:00
1.66,Lyft,2018-12-17 02:40:06.490,West End,South Station,9.0,1.0,Lyft,2018-12-17 02:00:00
1.2,Lyft,2018-11-26 23:21:14.228,Theatre District,Haymarket Square,19.5,1.0,Lux Black,2018-11-26 23:00:00
3.16,Uber,2018-12-13 08:20:12.681,North End,Back Bay,10.5,1.0,UberX,2018-12-13 08:00:00
2.72,Lyft,2018-11-30 10:08:03.383,Beacon Hill,Boston University,22.5,1.0,Lux Black,2018-11-30 10:00:00
2.17,Uber,2018-12-16 10:25:07.491,South Station,North Station,8.5,1.0,WAV,2018-12-16 10:00:00
1.44,Uber,2018-11-29 00:17:09.913,Boston University,Back Bay,8.0,1.0,WAV,2018-11-29 00:00:00
1.57,Uber,2018-11-28 18:21:25.317,North End,Theatre District,8.5,1.0,WAV,2018-11-28 18:00:00
2.86,Uber,2018-12-15 03:30:13.031,West End,Northeastern University,8.0,1.0,UberX,2018-12-15 03:00:00
2.28,Lyft,2018-11-28 22:48:40.348,North Station,South Station,13.5,1.0,Lyft XL,2018-11-28 22:00:00
4.68,Lyft,2018-12-17 12:05:03.772,Financial District,Boston University,42.5,1.75,Lux,2018-12-17 12:00:00
2.46,Uber,2018-12-17 22:15:13.929,Beacon Hill,Fenway,8.5,1.0,UberX,2018-12-17 22:00:00
0.39,Uber,2018-12-04 05:22:56.053,South Station,Financial District,15.0,1.0,Black,2018-12-04 05:00:00
2.84,Uber,2018-12-16 17:05:08.866,Back Bay,North End,10.5,1.0,WAV,2018-12-16 17:00:00
2.27,Uber,2018-12-03 12:27:59.986,Boston University,Beacon Hill,27.0,1.0,Black SUV,2018-12-03 12:00:00
2.45,Lyft,2018-11-29 16:58:02.834,Beacon Hill,South Station,16.5,1.0,Lux,2018-11-29 16:00:00
2.05,Lyft,2018-12-14 07:15:11.414,Theatre District,Northeastern University,32.5,1.0,Lux Black XL,2018-12-14 07:00:00
2.52,Lyft,2018-12-02 09:53:04.916,Northeastern University,Beacon Hill,16.5,1.0,Lux,2018-12-02 09:00:00
2.86,Lyft,2018-12-18 17:10:03.542,Boston University,West End,16.5,1.0,Lyft XL,2018-12-18 17:00:00
1.56,Uber,2018-11-27 14:15:23.490,Back Bay,Boston University,8.0,1.0,UberX,2018-11-27 14:00:00
1.22,Lyft,2018-11-29 04:02:08.050,Theatre District,South Station,10.5,1.0,Lyft XL,2018-11-29 04:00:00
2.79,Lyft,2018-11-28 15:56:26.591,West End,Fenway,16.5,1.0,Lyft XL,2018-11-28 15:00:00
2.88,Lyft,2018-12-15 10:10:12.815,Boston University,West End,7.0,1.0,Shared,2018-12-15 10:00:00
2.68,Lyft,2018-12-15 04:50:10.055,Beacon Hill,Boston University,22.5,1.0,Lux Black,2018-12-15 04:00:00
1.72,Lyft,2018-11-29 02:54:21.438,Haymarket Square,Theatre District,27.5,1.0,Lux Black XL,2018-11-29 02:00:00
2.44,Lyft,2018-11-26 20:44:10.630,Fenway,Beacon Hill,22.5,1.0,Lux Black,2018-11-26 20:00:00
4.61,Lyft,2018-11-29 03:53:07.921,Boston University,Theatre District,34.0,1.0,Lux Black,2018-11-29 03:00:00
2.33,Lyft,2018-11-28 20:20:07.885,Haymarket Square,Back Bay,11.0,1.0,Lyft,2018-11-28 20:00:00
3.41,Lyft,2018-11-28 18:02:08.411,Back Bay,North End,30.0,1.0,Lux Black,2018-11-28 18:00:00
2.14,Uber,2018-12-15 08:25:09.309,South Station,West End,7.5,1.0,UberPool,2018-12-15 08:00:00
2.61,Lyft,2018-12-14 17:00:11.066,Theatre District,Fenway,19.5,1.0,Lyft XL,2018-12-14 17:00:00
4.4,Uber,2018-11-28 10:46:25.150,Financial District,Fenway,19.0,1.0,UberXL,2018-11-28 10:00:00
4.72,Uber,2018-12-03 16:23:03.263,Financial District,Boston University,14.0,1.0,UberX,2018-12-03 16:00:00
1.53,Lyft,2018-11-26 20:11:12.918,Back Bay,Boston University,16.5,1.0,Lux Black,2018-11-26 20:00:00
1.44,Lyft,2018-12-15 03:00:05.583,Back Bay,Fenway,13.5,1.0,Lux,2018-12-15 03:00:00
1.44,Uber,2018-11-27 09:42:22.107,Boston University,Back Bay,26.5,1.0,Black SUV,2018-11-27 09:00:00
3.4,Uber,2018-11-27 01:17:23.614,North End,Back Bay,26.0,1.0,Black,2018-11-27 01:00:00
1.35,Lyft,2018-11-29 09:57:58.662,South Station,Back Bay,5.0,1.0,Shared,2018-11-29 09:00:00
2.66,Uber,2018-12-01 07:32:57.337,Fenway,Theatre District,9.0,1.0,WAV,2018-12-01 07:00:00
1.76,Lyft,2018-12-13 18:55:13.675,North End,Theatre District,30.0,1.0,Lux Black XL,2018-12-13 18:00:00
3.23,Lyft,2018-11-28 11:41:25.581,Fenway,Theatre District,26.0,1.0,Lux Black,2018-11-28 11:00:00
1.81,Uber,2018-12-18 07:25:08.806,Northeastern University,Theatre District,14.0,1.0,UberXL,2018-12-18 07:00:00
2.63,Uber,2018-12-14 22:15:12.188,Beacon Hill,Northeastern University,9.0,1.0,UberPool,2018-12-14 22:00:00
1.21,Uber,2018-12-03 12:52:58.642,North End,Financial District,27.0,1.0,Black SUV,2018-12-03 12:00:00
1.82,Lyft,2018-11-26 04:43:18.387,Beacon Hill,North End,19.5,1.0,Lux,2018-11-26 04:00:00
1.47,Lyft,2018-12-16 17:15:03.663,Boston University,Back Bay,7.0,1.0,Lyft,2018-12-16 17:00:00
2.77,Lyft,2018-11-29 18:08:02.165,West End,Northeastern University,16.5,1.0,Lux,2018-11-29 18:00:00
0.39,Uber,2018-11-26 09:32:10.175,South Station,Financial District,26.0,1.0,Black SUV,2018-11-26 09:00:00
3.4,Lyft,2018-11-29 12:18:01.509,Northeastern University,Financial District,38.5,1.0,Lux Black XL,2018-11-29 12:00:00
4.4,Uber,2018-11-28 16:56:23.553,Financial District,Fenway,41.0,1.0,Black SUV,2018-11-28 16:00:00
2.46,Uber,2018-11-28 23:13:41.569,Beacon Hill,Fenway,8.5,1.0,UberX,2018-11-28 23:00:00
2.14,Uber,2018-12-14 03:35:08.550,South Station,West End,28.0,1.0,Black SUV,2018-12-14 03:00:00
1.16,Uber,2018-11-27 17:09:22.401,West End,North End,7.0,1.0,UberX,2018-11-27 17:00:00
2.24,Uber,2018-12-14 13:50:05.759,North Station,South Station,8.0,1.0,UberPool,2018-12-14 13:00:00
0.99,Uber,2018-12-14 08:35:11.264,Financial District,Haymarket Square,27.0,1.0,Black SUV,2018-12-14 08:00:00
1.21,Uber,2018-12-04 06:17:56.390,North End,Financial District,26.0,1.0,Black SUV,2018-12-04 06:00:00
2.93,Lyft,2018-12-02 15:17:58.897,Theatre District,Boston University,11.0,1.0,Lyft,2018-12-02 15:00:00
2.66,Uber,2018-12-01 01:13:08.693,Theatre District,Fenway,9.5,1.0,UberPool,2018-12-01 01:00:00
1.16,Uber,2018-12-18 17:15:08.519,West End,North End,15.0,1.0,Black,2018-12-18 17:00:00
0.57,Lyft,2018-11-27 01:48:22.447,North Station,Haymarket Square,5.0,1.0,Shared,2018-11-27 01:00:00
1.68,Uber,2018-12-18 10:00:16.094,South Station,Back Bay,26.0,1.0,Black SUV,2018-12-18 10:00:00
2.96,Lyft,2018-12-02 17:47:56.921,Fenway,West End,9.0,1.0,Lyft,2018-12-02 17:00:00
2.27,Uber,2018-12-01 23:07:56.467,Boston University,Beacon Hill,9.5,1.0,WAV,2018-12-01 23:00:00
1.08,Lyft,2018-12-03 08:12:58.049,North End,West End,16.5,1.0,Lux Black,2018-12-03 08:00:00
4.69,Lyft,2018-11-30 00:22:57.417,Financial District,Boston University,32.5,1.25,Lux,2018-11-30 00:00:00
2.48,Uber,2018-12-18 13:05:10.837,South Station,Beacon Hill,29.5,1.0,Black SUV,2018-12-18 13:00:00
1.08,Lyft,2018-12-03 21:38:01.291,Theatre District,South Station,19.5,1.0,Lux Black,2018-12-03 21:00:00
1.46,Lyft,2018-12-18 02:40:09.025,Back Bay,Fenway,10.5,1.0,Lyft XL,2018-12-18 02:00:00
2.86,Uber,2018-11-29 18:37:58.177,West End,Northeastern University,9.5,1.0,WAV,2018-11-29 18:00:00
3.39,Uber,2018-12-18 02:05:10.043,North Station,Boston University,18.5,1.0,UberXL,2018-12-18 02:00:00
1.23,Lyft,2018-12-17 20:15:12.646,Theatre District,South Station,5.0,1.0,Shared,2018-12-17 20:00:00
2.81,Lyft,2018-12-14 13:45:14.451,West End,Fenway,67.5,2.0,Lux Black XL,2018-12-14 13:00:00
2.66,Uber,2018-12-18 09:15:10.562,Fenway,Theatre District,9.5,1.0,UberX,2018-12-18 09:00:00
0.54,Uber,2018-12-14 17:15:05.546,Financial District,South Station,9.5,1.0,UberXL,2018-12-14 17:00:00
0.55,Uber,2018-12-03 12:52:58.297,South Station,Theatre District,9.5,1.0,UberXL,2018-12-03 12:00:00
3.22,Uber,2018-12-14 22:25:15.721,North Station,Northeastern University,19.0,1.0,UberXL,2018-12-14 22:00:00
2.4,Lyft,2018-11-28 17:36:23.343,Back Bay,South Station,10.5,1.0,Lyft,2018-11-28 17:00:00
1.5,Uber,2018-11-30 21:33:09.111,Back Bay,Fenway,7.0,1.0,WAV,2018-11-30 21:00:00
2.9,Lyft,2018-11-28 13:23:07.919,Back Bay,North End,9.0,1.0,Shared,2018-11-28 13:00:00
3.08,Uber,2018-11-26 21:11:10.678,North Station,Fenway,11.5,1.0,UberX,2018-11-26 21:00:00
1.65,Uber,2018-11-30 02:27:56.015,Beacon Hill,North End,20.5,1.0,Black,2018-11-30 02:00:00
0.59,Lyft,2018-11-28 16:35:07.692,South Station,Theatre District,3.0,1.0,Shared,2018-11-28 16:00:00
1.82,Lyft,2018-11-26 09:29:09.818,Beacon Hill,North End,16.5,1.0,Lux,2018-11-26 09:00:00
2.8,Uber,2018-12-13 21:15:03.838,Boston University,West End,9.5,1.0,UberX,2018-12-13 21:00:00
1.02,Lyft,2018-12-15 22:05:07.344,Haymarket Square,Financial District,27.5,1.0,Lux Black XL,2018-12-15 22:00:00
2.62,Uber,2018-11-30 23:28:02.340,Back Bay,North End,20.5,1.0,UberXL,2018-11-30 23:00:00
2.8,Lyft,2018-12-03 20:43:00.776,Back Bay,North End,22.5,1.0,Lux,2018-12-03 20:00:00
2.48,Uber,2018-12-14 13:30:11.295,South Station,Beacon Hill,8.5,1.0,WAV,2018-12-14 13:00:00
1.92,Lyft,2018-12-03 19:03:06.011,North Station,South Station,10.5,1.0,Lyft,2018-12-03 19:00:00
3.04,Uber,2018-12-01 04:37:58.244,West End,Boston University,9.0,1.0,UberPool,2018-12-01 04:00:00
1.12,Uber,2018-12-18 17:20:03.549,Fenway,Theatre District,7.5,1.0,UberPool,2018-12-18 17:00:00
0.78,Lyft,2018-11-28 18:47:08.094,Haymarket Square,West End,3.0,1.0,Shared,2018-11-28 18:00:00
0.49,Uber,2018-11-26 23:00:10.762,North Station,Haymarket Square,8.5,1.0,WAV,2018-11-26 23:00:00
3.37,Uber,2018-12-16 10:00:03.529,Northeastern University,North Station,18.0,1.0,UberXL,2018-12-16 10:00:00
1.28,Lyft,2018-12-03 03:48:02.554,Theatre District,Haymarket Square,11.0,1.0,Lyft XL,2018-12-03 03:00:00
3.09,Lyft,2018-11-27 19:24:22.318,Northeastern University,West End,16.5,1.0,Lyft XL,2018-11-27 19:00:00
1.34,Lyft,2018-12-14 05:55:14.234,South Station,Back Bay,13.5,1.0,Lux,2018-12-14 05:00:00
3.08,Uber,2018-11-28 00:15:22.343,Northeastern University,West End,17.0,1.0,UberXL,2018-11-28 00:00:00
1.1,Uber,2018-11-28 11:11:24.528,Northeastern University,Back Bay,7.5,1.0,UberPool,2018-11-28 11:00:00
1.08,Uber,2018-12-13 18:50:07.475,North End,North Station,9.0,1.0,UberPool,2018-12-13 18:00:00
3.01,Uber,2018-12-14 06:45:07.271,Boston University,North Station,25.0,1.0,Black,2018-12-14 06:00:00
2.89,Lyft,2018-12-13 13:55:13.196,Boston University,West End,16.5,1.0,Lyft XL,2018-12-13 13:00:00
4.48,Uber,2018-12-17 22:50:11.469,Fenway,Financial District,31.5,1.0,Black,2018-12-17 22:00:00
4.45,Lyft,2018-11-30 06:57:57.891,Financial District,Fenway,3.5,1.0,Shared,2018-11-30 06:00:00
1.36,Lyft,2018-11-30 09:08:02.375,South Station,Back Bay,11.0,1.0,Lyft XL,2018-11-30 09:00:00
2.3,Lyft,2018-12-04 03:33:01.464,Boston University,Beacon Hill,30.0,1.0,Lux Black XL,2018-12-04 03:00:00
1.16,Uber,2018-11-30 20:47:58.986,West End,North End,8.5,1.0,WAV,2018-11-30 20:00:00
3.2,Uber,2018-11-30 16:48:01.033,Northeastern University,West End,18.0,1.0,UberXL,2018-11-30 16:00:00
1.06,Uber,2018-12-18 18:25:03.590,North End,West End,7.5,1.0,WAV,2018-12-18 18:00:00
3.03,Lyft,2018-12-14 03:45:13.352,Theatre District,Boston University,34.0,1.0,Lux Black XL,2018-12-14 03:00:00
0.73,Lyft,2018-12-01 00:18:04.949,Haymarket Square,West End,7.0,1.0,Lyft,2018-12-01 00:00:00
1.36,Uber,2018-11-27 07:12:22.060,Beacon Hill,Haymarket Square,13.0,1.0,UberXL,2018-11-27 07:00:00
1.03,Uber,2018-12-14 08:35:06.570,North Station,North End,8.0,1.0,WAV,2018-12-14 08:00:00
4.4,Uber,2018-12-04 00:47:57.405,Financial District,Fenway,37.5,1.0,Black SUV,2018-12-04 00:00:00
2.41,Lyft,2018-11-27 14:27:22.590,Fenway,Beacon Hill,5.0,1.0,Shared,2018-11-27 14:00:00
1.12,Lyft,2018-12-17 13:35:14.518,North Station,North End,16.5,1.0,Lux Black,2018-12-17 13:00:00
3.22,Uber,2018-11-27 03:33:22.217,North Station,Northeastern University,11.5,1.0,UberX,2018-11-27 03:00:00
0.71,Lyft,2018-11-27 04:48:22.079,Haymarket Square,West End,10.5,1.0,Lux,2018-11-27 04:00:00
3.3,Uber,2018-12-03 17:18:07.068,Northeastern University,North Station,10.0,1.0,UberPool,2018-12-03 17:00:00
3.05,Uber,2018-12-03 12:48:01.177,Fenway,North Station,25.0,1.0,Black,2018-12-03 12:00:00
1.49,Uber,2018-12-15 22:25:05.709,Back Bay,Northeastern University,7.5,1.0,UberPool,2018-12-15 22:00:00
2.19,Uber,2018-11-28 22:53:07.985,North End,Beacon Hill,13.5,1.0,UberXL,2018-11-28 22:00:00
4.55,Lyft,2018-12-02 19:33:00.714,Fenway,Financial District,10.5,1.0,Shared,2018-12-02 19:00:00
3.08,Uber,2018-12-01 03:37:57.009,North Station,Fenway,16.5,1.0,UberX,2018-12-01 03:00:00
2.4,Lyft,2018-12-16 06:50:11.788,Beacon Hill,Northeastern University,7.0,1.0,Shared,2018-12-16 06:00:00
3.26,Lyft,2018-11-26 06:49:04.665,North Station,Northeastern University,32.5,1.5,Lux,2018-11-26 06:00:00
1.55,Lyft,2018-11-28 10:53:07.130,North End,Beacon Hill,7.0,1.0,Lyft,2018-11-28 10:00:00
3.09,Lyft,2018-11-29 21:53:06.558,Boston University,North Station,16.5,1.0,Lyft XL,2018-11-29 21:00:00
2.79,Uber,2018-12-13 12:05:11.951,Beacon Hill,Boston University,19.5,1.0,Black,2018-12-13 12:00:00
1.18,Lyft,2018-12-15 16:00:09.402,Haymarket Square,Financial District,45.5,1.75,Lux Black XL,2018-12-15 16:00:00
0.99,Uber,2018-11-28 23:08:42.490,Financial District,Haymarket Square,26.0,1.0,Black SUV,2018-11-28 23:00:00
0.42,Lyft,2018-12-03 04:28:04.602,North Station,Haymarket Square,10.5,1.0,Lux,2018-12-03 04:00:00
1.27,Lyft,2018-12-03 09:07:58.640,Back Bay,Northeastern University,16.5,1.0,Lux Black,2018-12-03 09:00:00
2.71,Lyft,2018-11-26 13:44:10.966,Theatre District,Fenway,16.5,1.0,Lyft XL,2018-11-26 13:00:00
1.1,Uber,2018-11-29 23:08:01.901,Northeastern University,Back Bay,7.0,1.0,UberX,2018-11-29 23:00:00
3.32,Lyft,2018-11-27 22:18:23.766,Northeastern University,North Station,19.5,1.0,Lyft XL,2018-11-27 22:00:00
3.03,Lyft,2018-11-27 17:09:22.183,West End,Boston University,9.0,1.0,Shared,2018-11-27 17:00:00
2.66,Lyft,2018-11-27 12:54:23.774,Beacon Hill,Boston University,3.0,1.0,Shared,2018-11-27 12:00:00
3.13,Lyft,2018-11-28 15:36:23.234,West End,Boston University,16.5,1.5,Lyft,2018-11-28 15:00:00
1.31,Uber,2018-12-15 08:35:07.550,Fenway,Beacon Hill,16.0,1.0,Black,2018-12-15 08:00:00
1.25,Uber,2018-12-17 21:55:10.364,Haymarket Square,Financial District,7.0,1.0,WAV,2018-12-17 21:00:00
2.48,Uber,2018-11-28 16:14:07.772,Beacon Hill,Fenway,8.5,1.0,UberPool,2018-11-28 16:00:00
3.44,Uber,2018-11-28 16:02:07.167,Back Bay,South Station,14.0,1.0,UberPool,2018-11-28 16:00:00
2.3,Lyft,2018-12-16 11:55:14.266,Boston University,Beacon Hill,30.0,1.0,Lux Black XL,2018-12-16 11:00:00
2.57,Uber,2018-12-16 04:00:13.024,Northeastern University,Beacon Hill,21.5,1.0,Black,2018-12-16 04:00:00
2.66,Uber,2018-11-29 06:49:50.128,Fenway,Theatre District,32.0,1.0,Black SUV,2018-11-29 06:00:00
2.27,Uber,2018-12-01 07:13:00.113,Boston University,Beacon Hill,15.0,1.0,UberXL,2018-12-01 07:00:00
1.41,Uber,2018-12-14 19:50:12.365,Theatre District,North End,9.5,1.0,UberPool,2018-12-14 19:00:00
2.96,Lyft,2018-12-14 13:40:12.871,Fenway,West End,19.5,1.0,Lux,2018-12-14 13:00:00
2.39,Lyft,2018-11-26 23:27:16.879,South Station,Beacon Hill,7.0,1.0,Shared,2018-11-26 23:00:00
2.37,Lyft,2018-12-16 16:30:03.413,Boston University,Beacon Hill,9.0,1.0,Lyft,2018-12-16 16:00:00
1.88,Uber,2018-12-17 04:55:11.822,North End,North Station,13.0,1.0,UberXL,2018-12-17 04:00:00
1.23,Uber,2018-12-14 16:30:10.524,North End,West End,17.0,1.0,Black,2018-12-14 16:00:00
4.42,Uber,2018-11-27 07:18:22.237,Financial District,Fenway,15.0,1.0,WAV,2018-11-27 07:00:00
1.51,Uber,2018-11-30 05:57:59.111,Back Bay,Boston University,14.0,1.0,UberXL,2018-11-30 05:00:00
1.16,Uber,2018-11-27 02:06:23.793,Theatre District,Haymarket Square,26.0,1.0,Black SUV,2018-11-27 02:00:00
2.84,Uber,2018-12-14 00:45:09.291,Fenway,West End,32.0,1.0,Black SUV,2018-12-14 00:00:00
2.34,Lyft,2018-12-01 03:43:02.693,Fenway,Beacon Hill,32.5,1.0,Lux Black XL,2018-12-01 03:00:00
0.43,Lyft,2018-12-16 13:00:15.761,South Station,Financial District,3.0,1.0,Shared,2018-12-16 13:00:00
0.91,Uber,2018-12-03 16:23:03.767,Beacon Hill,Haymarket Square,10.5,1.0,UberXL,2018-12-03 16:00:00
0.49,Uber,2018-12-14 07:00:10.945,North Station,Haymarket Square,27.5,1.0,Black SUV,2018-12-14 07:00:00
3.09,Lyft,2018-12-02 03:17:56.321,Financial District,Northeastern University,9.0,1.0,Shared,2018-12-02 03:00:00
2.38,Uber,2018-11-28 17:56:24.265,Boston University,Beacon Hill,9.0,1.0,UberPool,2018-11-28 17:00:00
1.03,Uber,2018-12-14 21:25:13.787,North Station,North End,7.5,1.0,WAV,2018-12-14 21:00:00
2.79,Uber,2018-11-28 11:06:25.163,Beacon Hill,Boston University,19.5,1.0,Black,2018-11-28 11:00:00
1.81,Uber,2018-12-03 20:28:01.273,Northeastern University,Theatre District,19.0,1.0,Black,2018-12-03 20:00:00
3.53,Uber,2018-11-28 16:20:07.796,Back Bay,South Station,27.5,1.0,Black,2018-11-28 16:00:00
1.23,Lyft,2018-12-15 14:30:04.593,West End,North End,26.0,1.0,Lux Black XL,2018-12-15 14:00:00
2.32,Uber,2018-12-14 01:50:13.012,Fenway,Beacon Hill,9.5,1.0,UberX,2018-12-14 01:00:00
2.65,Lyft,2018-12-17 02:00:11.264,North End,Back Bay,16.5,1.0,Lyft XL,2018-12-17 02:00:00
3.39,Uber,2018-12-01 21:48:03.262,North Station,Boston University,38.5,1.0,Black SUV,2018-12-01 21:00:00
1.03,Lyft,2018-11-28 23:14:08.243,North End,Financial District,27.5,1.0,Lux Black XL,2018-11-28 23:00:00
2.61,Lyft,2018-11-30 16:23:02.564,South Station,Back Bay,7.0,1.0,Shared,2018-11-30 16:00:00
0.4,Lyft,2018-11-27 16:48:24.517,South Station,Financial District,9.0,1.0,Lyft XL,2018-11-27 16:00:00
3.44,Lyft,2018-12-13 14:45:13.043,Back Bay,North End,38.0,1.0,Lux Black XL,2018-12-13 14:00:00
2.89,Lyft,2018-12-03 02:48:00.607,Boston University,West End,7.0,1.0,Shared,2018-12-03 02:00:00
4.65,Lyft,2018-11-27 01:00:21.966,Financial District,Boston University,42.5,1.0,Lux Black XL,2018-11-27 01:00:00
1.2,Lyft,2018-12-13 22:10:04.913,Theatre District,South Station,27.5,1.0,Lux Black XL,2018-12-13 22:00:00
1.15,Lyft,2018-11-27 18:00:22.185,Theatre District,South Station,13.5,1.0,Lux,2018-11-27 18:00:00
4.78,Lyft,2018-12-01 07:53:05.685,Boston University,Theatre District,32.5,1.0,Lux Black,2018-12-01 07:00:00
2.14,Lyft,2018-12-16 19:50:13.075,North End,Beacon Hill,13.5,1.0,Lyft XL,2018-12-16 19:00:00
2.79,Uber,2018-11-29 10:03:01.167,Beacon Hill,Boston University,15.5,1.0,UberXL,2018-11-29 10:00:00
3.07,Uber,2018-11-28 10:23:07.905,North Station,Fenway,11.5,1.0,WAV,2018-11-28 10:00:00
2.3,Uber,2018-12-13 15:45:06.376,Back Bay,Haymarket Square,9.5,1.0,WAV,2018-12-13 15:00:00
0.66,Lyft,2018-12-13 23:55:10.939,Financial District,South Station,11.0,1.0,Lux,2018-12-13 23:00:00
1.5,Lyft,2018-11-28 15:31:24.584,Back Bay,Boston University,10.5,1.0,Lyft XL,2018-11-28 15:00:00
0.49,Uber,2018-12-15 05:30:12.751,North Station,Haymarket Square,5.5,1.0,UberPool,2018-12-15 05:00:00
2.62,Uber,2018-12-03 14:07:58.735,Boston University,Theatre District,17.0,1.0,UberXL,2018-12-03 14:00:00
2.82,Uber,2018-12-01 20:47:56.381,West End,South Station,9.5,1.0,UberX,2018-12-01 20:00:00
1.56,Uber,2018-12-03 11:08:08.743,Back Bay,Boston University,26.5,1.0,Black SUV,2018-12-03 11:00:00
3.16,Lyft,2018-11-28 12:05:08.290,Fenway,North Station,34.0,1.0,Lux Black XL,2018-11-28 12:00:00
2.33,Uber,2018-12-18 07:30:09.992,North End,Back Bay,9.5,1.0,UberX,2018-12-18 07:00:00
0.39,Uber,2018-12-16 18:25:07.852,South Station,Financial District,26.0,1.0,Black SUV,2018-12-16 18:00:00
2.58,Uber,2018-12-01 10:37:56.708,Beacon Hill,South Station,31.5,1.0,Black SUV,2018-12-01 10:00:00
3.64,Lyft,2018-12-17 14:00:05.174,Financial District,Fenway,11.0,1.0,Lyft,2018-12-17 14:00:00
2.71,Lyft,2018-11-28 16:56:09.002,Theatre District,Fenway,26.0,1.0,Lux Black,2018-11-28 16:00:00
0.46,Lyft,2018-11-30 03:18:01.914,South Station,Financial District,26.0,1.0,Lux Black XL,2018-11-30 03:00:00
